
Date,Squad,Name,UserID,Level,XP,JoinTime,PingTime,Banned,Coins,KillsELO,GamesELO,Number_of_Jumps,Zombie_Deaths,Zombie_Kills,Zombie_Wins,Time,Time_Alive_Count,Time_Alive_Longest,Time_Alive,Zombie_Time_Alive_Count,Zombie_Time_Alive,BGM,DamageDealt_p52,DamageDealt_p53,DamageDealt_p54,DamageDealt_p55,DamageDealt_p56,DamageDealt_p57,DamageDealt_p58,DamageDealt_p59,DamageDealt_p60,AR,AK,Pistol,HR,RPG,Shotgun,SR,SMG,Homing,Grenade,HeliMinigun,TankMinigun,Knife,Revolver,Minigun,GL,DamageDealt_p82,DamageDealt_p83,DamageDealt_p84,DamageDealt_p85,DamageDealt_p86,DamageDealt_p87,Fists,VSS,Fifty,MGTurret,XBow,SCAR,TacShotty,VEK,DamageDealt_p96,DamageDealt_p97,LMG,DamageDealt_p101,DamageDealt_p104,DamageDealt_p105,DamageDealt_p110,LaserMine,DamageDealt_p112,Losses_m00,Losses_m10,Losses_m09,Losses_m08,Losses_m07
24082024,4GE,Nox8450,5e3aabe8fe3c7ab76c992672,57,1085480,1580903400,91287,False,790,1839.72,1927.56,33534,0,0,0,1717159488,2214,562.792,147724.859774,0,0,62172.282,1468.2825,3421.33733,0,847.155,187,0,550,136,0,6704.9125,30005.49064,2705.6017,12256.3548,19.525,444.5932,283110,14432.8751,600,11830.1707,0,150,500,0,168.00294,0,0,0,0,0,0,0,30,12186.0794,900,527.9844,375,96977.233926,12014.7708,4261.6739,3584.3158,100,122.5,0,0,0,0,0,0,144,17,2,5,0
24082024,4GE,Shamaon,5e3aabbffe3c7aa26c992672,44,772150,1580903359,31508,False,920,1874.09,2178.54,17312,0,0,0,1693394738,1031,789.016,65390.65708,0,0,21674.83,1218.736,1513,0,991.244,14.6193,32.34691,1375,0,0,8146.8474,42016.78156,3977.4627,21583.752,2860.7797,1022.5317,57570,7212.0301,600,16649.97252,144.35,0,750,3145,1203.35598,0,77.146,0,0,0,0,0,90,4080.0565,3705,515.3466,1125,23746.57511,250,100,180,0,1405.03553,0,0,510,3.78752,434.645,0,30,4,0,2,1
24082024,501st,Fives,6417007cfd3c7a505f88039c,72,1461875,1679229052,246420,False,881,1629.98,1733.41,32448,0,0,0,1700581185,4409,879.03,298415.4265,0,0,28182.46,14833.6537,1692.29059,2696.6043,13200,2674.3349,187.08129,11573.983,1902.00156,4274.931,77473.44675,32692.235394,4981.0792,16421.3909,12026.9227,10987.6189,228120,86905.5597,13028.1686,25621.96125,419.2299,2570.544,7250,3922.0699,11825.44011,2004.0652,193.095,1500,269.835,683.7744,750,224.4804,150,22218.0632,175680,20,123750,24314.767,7298.63618,20251.1265,5774.7236,1832.0908,6983.30961,500,0,600,4.78929,6488.0206,10145.194643,253,21,1,2,5
24082024,67.,nina,5f17d608fe3c7a9e2f79e6cf,57,1085765,1595397641,633859,False,361,1667.44,1531.28,106839,14,99,0,1724321322,5077,796.689,309658.19061,14,6300.8247,94530.708,7789.0644,11346.7311,996.3435,550,263.5,77.94752,0,408,0,49362.43532,197341.91019,8766.6198,3040,45675.3484,11287.26131,729750,43247.4156,965.2918,24118.60199,150,2016.99023,15875,2115,3203.48402,14499.686,100.2054,100,0,150,0,0,180,348.913,42064.8,470.6185,17250,18762.28612,93.5456,50,0,0,0,125,0,0,0,0,2827.196649,236,31,3,6,1
24082024,67.,WhoV,5f17d89dd142afe96fe4504f,32,454175,1595483856,327527,False,200,1621.76,1522.42,54972,1,4,0,1724321787,2851,822.433,171157.05647,1,615.114,33340.2419,2885.114,3430.6532,77.7454,1100,24.0623,27.08564,0,34,250,22563.94944,117527.99461,2842.4194,570,1085.1469,1630.08955,375340,6981.7711,300,13531.143,0,360,3000,5156.215,200,7177.7422,0,100,23.9672,0,0,0,0,342,123150,603.339,14625,14102.57459,251.1405,0,0,0,140,375,0,0,0,0,392.09749,145,21,0,7,0
24082024,75322,The Warlord,5d2769c9bfea714f3ff2416b,52,967850,1562864089,482261,False,190,1401.33,1556.67,59463,137,582,0,1723252877,7186,907.021,492919.54671,137,57912.7629,128143.68873,16648.048,9239.81112,1268.1924,8801.803,3293.83495,119.65074,13445.037,1067.6,796.3655,9141.02517,173943.48718,10910.2082,12913.6882,4052.36111,9129.29084,53700,1608.4901,41615.3894,23878.73097,817.91366,4150.483,1250,2959.56439,7967.5525,1254.6294,69.1714,577.6362,48.4035,356.8926,0,0,360,1662.19,12675,842.3244,352875,60829.652236,1689.69566,216.950097,453.69,189.2826,0,250,0,4778.75,7.69522,4686.3336,47.0908,317,38,8,4,0
24082024,9Ine,Six0Eight608,634ec649d142afe07d8d297b,105,2281505,1666106953,1648096,False,364,1617.24,1859.56,98250,0,0,0,1724351917,8687,807.663,612505.76853,0,0,231685.9219,3158.719,816,1160.2627,8687.603,1206.3866,316.80088,3300,250.74147,3926.5403,48845.1724,6666.35177,2757.6415,1938,142773.1903,5484.88663,946285.49,134685.50691,74334.3525,408166.34849248,160.22905,156.95644,54125,8646.66393,1143.6024,330.5841,724.3438,12208.3272,974.5027,2259.424,18616.3862,524.4242,420,15605.20547,222863.603,0,92606.651,9792.85995,791.07101,2306.7816,703.7547,13787.9749,938,25875,148311.72742,14649.142,33.46543015,27833.93375,6810.847124,622,15,0,16,8
24082024,9Ine,JakeRangerYT,5ed12c1fd142affd79b16ba8,65,1298615,0,375844,False,283,1703.07,2181.9,67084,0,0,0,1724346752,2840,828.758,211865.843912,0,0,96832.42109,411.548,709.6169,767.4327,3720.505,858.5,19.36,1100,102,349.8248,1799.8941,45575.95475,1656.8127,6083.3294,13829.1763,5587.7669,257934.1155,16859.9136,10232.2054,36946.81703,297.221,848.267,1125,1176.1168,828.9644,0,350.9332,3200,690.2468,614.3651,1375,219.2611,300,764.95,229663.935,281.8788,85118.331,33309.22244,1538.1568,671.7889,249.921,8916.2578,4556.955,5875,43181.375576,9259.944,5.90903,34578.6907,1491.939916,137,5,1,1,1
24082024,<KILL>,GamerFlydronOG,61928083bfea71900ebdc6eb,139,3148450,1636991107,2007141,False,85,1550.63,1731.66,220523,0,0,0,1723467331,13453,836.677,838525.18545,0,0,127772.5204,3151.568,4564.5,1035.7467,2200,1360,62.69925,1925,595,1884.868,35052.83586,370527.15145,4065.1594,4451.9803,7435.0037,5792.33485,804290,411038.50994,54906.3224,9282.9683,104.023,643.619,875,1533.384,5915.37201,18014.2546,68.8022,0,0,0,0,0,60,4122.9594,60555,80,315375,5970.21328,2768.33643,64755.401747,0,0,965,0,218.7717,956.25,0,160140.116313,244.0376,520,61,11,10,10
24082024,<KILL>,Althaf,5f12cd14bfea71742462ebda,45,790825,0,217968,False,960,1527.38,1704.14,38757,0,0,0,1718794179,2469,869.893,151024.22126,0,0,32580.7141,5659.843,3272.5,467.3728,3025,977.5,37.85516,1100,85,758.4331,36246.79776,11345.6094,1074.449,2301.9322,5001.2391,721.4963,149360,63708.2817,2775,6392.716014,0,647.3489,6500,1160.49659,0,5854.7952,54.1521,900,0,75.8764,1284.245,0,330,807.5338,720,200,37875,48840.5811,255.76822,1498.9228,630,0,140,375,13602.0339,9350,263.926739,68099.68625,11207.315992,104,11,0,3,1
